age,gender,sleep_hours,daily_steps,heart_rate,calories_burned,stress_level,water_intake,exercise_minutes,wellness_score
62.0,Male,8.9,16686.0,108.0,1483.0,8.0,1.82,36.0,57.67
49.0,Female,6.8,10495.0,100.0,2944.0,9.0,1.63,115.0,56.93
44.0,Female,7.3,13597.0,80.0,2704.0,2.0,1.54,57.0,82.31
46.0,Female,5.8,10077.0,,2944.0,5.0,2.04,34.0,58.78
50.0,Female,5.0,10286.0,66.0,2503.0,10.0,0.7,91.0,57.73
20.0,Male,6.0,6532.0,64.0,3581.0,9.0,0.84,24.0,53.4
25.0,Male,9.6,7964.0,97.0,1487.0,1.0,2.66,81.0,71.48
31.0,Male,7.6,6171.0,97.0,1728.0,3.0,2.2,88.0,67.19
24.0,,7.2,8963.0,64.0,1949.0,3.0,1.59,58.0,80.73
43.0,Female,5.5,17185.0,95.0,3121.0,6.0,2.78,26.0,65.43
56.0,Male,8.0,6940.0,81.0,1569.0,9.0,1.65,33.0,46.93
55.0,Male,5.0,8982.0,84.0,1671.0,5.0,1.69,28.0,56.59
44.0,,4.8,17095.0,101.0,3011.0,2.0,1.55,14.0,65.74
66.0,Female,6.1,3740.0,61.0,2320.0,6.0,3.43,129.0,63.71
50.0,Female,9.3,5448.0,75.0,2952.0,3.0,2.26,109.0,75.65
22.0,Female,9.3,9485.0,68.0,2206.0,7.0,2.24,67.0,74.48
61.0,Female,6.2,8077.0,84.0,1596.0,10.0,2.43,106.0,57.59
50.0,Female,5.9,6931.0,61.0,2713.0,7.0,0.8,85.0,54.57
54.0,Male,4.7,14274.0,58.0,1640.0,10.0,1.68,79.0,62.82
,Male,6.9,9581.0,92.0,2453.0,,2.42,93.0,67.06
49.0,Other,7.0,7320.0,55.0,3336.0,9.0,2.1,74.0,64.74
23.0,Female,7.8,9246.0,76.0,1802.0,10.0,3.64,72.0,67.37
49.0,Male,8.0,16095.0,109.0,1841.0,2.0,1.73,17.0,58.6
63.0,Female,6.5,17730.0,109.0,3486.0,7.0,2.76,79.0,73.37
35.0,Male,7.5,5283.0,62.0,2068.0,3.0,2.66,58.0,64.78
52.0,Female,5.9,1875.0,105.0,2219.0,1.0,2.2,31.0,54.92
19.0,Male,7.5,1726.0,71.0,2905.0,3.0,2.33,62.0,76.06
37.0,Female,6.1,8682.0,63.0,1681.0,2.0,1.9,108.0,68.07
42.0,Female,7.4,11763.0,81.0,1533.0,2.0,0.72,59.0,74.01
74.0,Male,7.3,2061.0,80.0,3255.0,1.0,2.34,61.0,72.82
30.0,Male,6.9,9738.0,73.0,3484.0,10.0,2.4,31.0,65.13
33.0,Female,7.8,7913.0,76.0,3571.0,5.0,2.51,104.0,74.37
41.0,Male,4.8,16875.0,57.0,1450.0,2.0,2.14,16.0,62.55
74.0,Male,5.4,11339.0,67.0,2565.0,4.0,2.78,108.0,79.73
66.0,Female,6.4,8308.0,63.0,3268.0,8.0,1.49,121.0,63.91
19.0,Male,4.9,11055.0,106.0,3258.0,7.0,3.13,,65.88
31.0,Male,6.3,3477.0,80.0,2193.0,1.0,1.41,72.0,69.55
,Male,6.3,9180.0,83.0,2478.0,2.0,2.02,76.0,74.54
21.0,Female,8.5,6739.0,77.0,1730.0,6.0,2.58,112.0,74.36
66.0,Male,7.0,4240.0,103.0,1706.0,10.0,1.74,42.0,47.13
34.0,Male,8.1,7805.0,98.0,2230.0,1.0,2.62,87.0,77.98
70.0,Male,7.2,11935.0,91.0,1906.0,9.0,1.86,12.0,49.02
34.0,Male,6.1,10996.0,70.0,3540.0,1.0,2.18,106.0,87.82
42.0,Male,7.0,17394.0,69.0,1576.0,5.0,1.97,98.0,72.61
55.0,Male,7.7,5811.0,106.0,2563.0,3.0,1.7,28.0,54.59
25.0,Male,8.4,12954.0,105.0,2624.0,5.0,3.68,16.0,67.87
49.0,Male,6.6,10445.0,68.0,1530.0,10.0,1.51,13.0,49.6
46.0,Female,4.7,15880.0,71.0,2369.0,3.0,0.7,107.0,72.76
62.0,Male,4.6,16455.0,,3471.0,7.0,1.54,79.0,77.24
74.0,Male,6.4,13086.0,97.0,1641.0,4.0,2.19,48.0,59.4
55.0,Female,3.8,8318.0,107.0,1715.0,7.0,1.84,71.0,48.04
41.0,,9.1,10161.0,103.0,1763.0,1.0,,72.0,77.37
41.0,Female,7.6,12146.0,100.0,1520.0,3.0,2.79,12.0,65.44
41.0,Male,6.0,14739.0,72.0,3346.0,10.0,1.88,57.0,61.37
64.0,Male,5.4,5045.0,70.0,1499.0,8.0,0.92,79.0,47.34
36.0,Male,8.1,15866.0,103.0,2018.0,10.0,1.2,78.0,59.7
27.0,Male,5.4,14662.0,74.0,3217.0,7.0,2.08,23.0,68.88
37.0,Male,5.5,2681.0,64.0,3589.0,2.0,1.0,120.0,78.08
19.0,Female,5.8,5730.0,100.0,1736.0,5.0,1.84,14.0,45.75
24.0,Male,6.9,5161.0,79.0,2192.0,9.0,3.09,112.0,60.47
23.0,Female,7.6,10940.0,56.0,1793.0,7.0,2.34,128.0,75.52
61.0,Male,8.4,4705.0,103.0,1823.0,6.0,2.13,97.0,54.84
59.0,Male,8.2,6244.0,69.0,3477.0,9.0,1.37,,65.18
57.0,Female,6.8,4378.0,69.0,2142.0,2.0,2.23,25.0,67.13
44.0,Female,8.1,2332.0,82.0,2745.0,10.0,1.92,42.0,56.65
58.0,Male,5.9,8917.0,67.0,1744.0,2.0,2.27,71.0,77.91
27.0,Female,4.4,6570.0,100.0,,10.0,2.61,12.0,37.27
69.0,Male,5.9,9675.0,92.0,2194.0,9.0,2.73,92.0,57.23
46.0,Male,5.8,,84.0,,5.0,2.19,119.0,62.67
71.0,Female,6.0,6011.0,63.0,3380.0,5.0,2.46,96.0,70.43
26.0,Male,5.6,16196.0,80.0,1934.0,1.0,1.74,122.0,77.26
46.0,Male,6.2,14724.0,67.0,2819.0,4.0,2.89,61.0,86.03
57.0,Female,7.6,5671.0,107.0,2487.0,3.0,1.48,33.0,55.31
46.0,Male,9.0,3917.0,97.0,3149.0,8.0,1.95,2.0,42.39
43.0,Male,4.6,17570.0,58.0,2136.0,2.0,2.97,56.0,73.1
27.0,Male,5.1,12638.0,82.0,2332.0,9.0,1.76,14.0,57.99
39.0,Other,5.8,9471.0,97.0,2769.0,4.0,1.16,83.0,71.68
31.0,Female,7.8,12949.0,82.0,2374.0,9.0,1.81,104.0,70.87
35.0,Male,6.5,4913.0,59.0,3069.0,4.0,3.07,14.0,64.2
56.0,Male,5.9,8392.0,60.0,1430.0,8.0,0.7,67.0,51.44
53.0,Female,7.7,7774.0,94.0,2166.0,7.0,2.17,69.0,66.73
,Male,8.0,13310.0,82.0,1783.0,10.0,1.66,40.0,58.73
38.0,Female,6.8,4281.0,83.0,1716.0,6.0,1.98,28.0,54.0
72.0,Female,5.7,9416.0,67.0,1517.0,4.0,1.86,92.0,64.36
22.0,Male,7.2,,67.0,2182.0,7.0,2.77,29.0,66.68
37.0,Male,6.5,4498.0,75.0,1878.0,1.0,2.14,4.0,53.65
24.0,Male,6.5,3215.0,83.0,3067.0,10.0,2.81,78.0,60.81
37.0,Male,6.1,14996.0,79.0,2504.0,7.0,3.0,8.0,59.77
72.0,Male,8.0,15875.0,103.0,3131.0,1.0,2.12,40.0,80.64
38.0,Female,7.1,8433.0,62.0,3347.0,2.0,,11.0,68.9
69.0,Male,8.1,1971.0,79.0,3128.0,1.0,2.36,71.0,70.05
46.0,Female,8.5,10283.0,65.0,2326.0,7.0,2.5,28.0,67.94
57.0,Female,7.4,6233.0,52.0,3544.0,7.0,1.29,34.0,63.45
44.0,Male,6.1,11068.0,76.0,2247.0,2.0,2.27,51.0,79.77
33.0,Male,8.2,3550.0,55.0,3214.0,6.0,1.92,63.0,74.39
61.0,Male,7.4,14726.0,73.0,1779.0,5.0,1.81,93.0,76.62
73.0,Female,10.0,12712.0,88.0,3530.0,5.0,1.62,121.0,78.91
33.0,Male,7.2,12039.0,73.0,2067.0,7.0,1.66,78.0,66.2
62.0,Female,7.7,9807.0,91.0,2778.0,9.0,2.98,63.0,66.19
32.0,Female,7.2,4899.0,69.0,2178.0,10.0,1.85,75.0,60.0
58.0,Female,6.7,16980.0,75.0,1904.0,2.0,2.9,65.0,82.98
62.0,Other,6.5,5665.0,102.0,2124.0,10.0,2.19,0.0,37.66
43.0,Female,7.2,7351.0,,2738.0,6.0,1.31,64.0,76.03
60.0,Female,7.5,16761.0,81.0,1645.0,2.0,2.23,96.0,75.5
33.0,Female,8.3,1884.0,93.0,1835.0,10.0,1.27,111.0,54.02
22.0,Female,7.2,3301.0,72.0,,4.0,2.53,11.0,64.7
23.0,Female,6.2,13995.0,69.0,1587.0,5.0,1.95,88.0,73.35
43.0,Female,6.4,7381.0,92.0,2989.0,10.0,2.7,14.0,53.33
69.0,Female,5.1,10935.0,56.0,2062.0,6.0,3.1,3.0,57.88
25.0,Female,9.0,10952.0,67.0,2102.0,2.0,0.89,5.0,63.97
43.0,Female,,15100.0,75.0,2198.0,1.0,1.78,,76.66
58.0,Female,8.1,11620.0,64.0,2241.0,9.0,1.25,10.0,55.42
29.0,Male,7.2,8359.0,83.0,2959.0,4.0,3.61,75.0,80.95
59.0,Female,7.2,10427.0,87.0,3170.0,1.0,1.79,119.0,82.34
35.0,Female,6.6,13601.0,108.0,2198.0,1.0,1.18,98.0,78.19
64.0,Other,5.8,7569.0,86.0,1777.0,10.0,3.67,95.0,60.28
51.0,Male,5.5,4073.0,86.0,1406.0,6.0,1.59,15.0,46.02
49.0,Female,9.0,9369.0,94.0,2994.0,6.0,0.96,121.0,70.63
28.0,Female,6.9,17992.0,64.0,3417.0,6.0,1.29,65.0,70.95
44.0,Female,8.3,3084.0,79.0,1475.0,5.0,2.2,4.0,47.21
66.0,Female,8.6,4117.0,100.0,2696.0,10.0,2.13,83.0,50.27
19.0,Female,6.3,17917.0,62.0,1880.0,7.0,1.51,91.0,74.84
61.0,Female,7.4,15140.0,68.0,1863.0,7.0,1.76,52.0,72.26
46.0,Male,6.9,3166.0,64.0,3222.0,9.0,2.14,93.0,57.2
59.0,Other,5.3,4768.0,107.0,1955.0,1.0,3.03,90.0,67.17
55.0,Male,6.6,12805.0,72.0,2068.0,4.0,2.33,75.0,85.18
42.0,Female,7.6,14346.0,70.0,1673.0,9.0,1.71,44.0,59.63
35.0,Female,6.2,13530.0,99.0,3388.0,1.0,1.94,129.0,88.1
53.0,Male,6.4,,104.0,3394.0,4.0,2.64,80.0,82.5
25.0,Male,6.6,9713.0,52.0,3409.0,2.0,3.28,60.0,82.81
51.0,Male,9.5,15927.0,102.0,1906.0,8.0,1.33,99.0,62.41
23.0,Female,4.4,11212.0,93.0,1812.0,9.0,2.88,31.0,58.29
55.0,Female,7.5,9192.0,102.0,3469.0,3.0,1.88,124.0,78.07
53.0,Male,6.5,11892.0,57.0,2748.0,7.0,0.96,95.0,67.97
22.0,Female,6.0,8404.0,54.0,1981.0,8.0,0.82,83.0,60.56
61.0,Male,6.4,11387.0,71.0,1502.0,10.0,3.03,34.0,61.23
41.0,Female,7.7,15207.0,101.0,3158.0,10.0,3.12,45.0,64.63
62.0,Male,7.7,17297.0,80.0,3164.0,5.0,1.7,123.0,77.81
20.0,Male,7.0,10935.0,93.0,1422.0,1.0,1.95,93.0,74.77
28.0,Male,8.2,1296.0,66.0,2452.0,8.0,0.85,14.0,45.85
46.0,Female,8.4,11637.0,71.0,2463.0,6.0,2.63,104.0,75.14
28.0,Male,7.9,5431.0,102.0,2420.0,5.0,2.08,15.0,53.45
36.0,Female,6.1,5165.0,80.0,2212.0,6.0,1.01,53.0,66.62
55.0,Male,7.4,16004.0,97.0,2122.0,7.0,2.24,54.0,70.18
26.0,Male,7.4,8695.0,89.0,2136.0,3.0,1.13,47.0,65.86
56.0,Male,5.7,14478.0,62.0,3424.0,4.0,2.49,64.0,78.8
23.0,Male,4.8,7406.0,106.0,3582.0,4.0,1.34,19.0,49.3
27.0,Female,4.2,11394.0,106.0,1646.0,5.0,2.34,85.0,60.12
51.0,Male,6.9,12377.0,97.0,2985.0,7.0,1.64,87.0,68.28
63.0,Other,7.2,16206.0,79.0,2661.0,1.0,0.7,110.0,77.82
27.0,Male,5.3,4500.0,76.0,1962.0,3.0,2.8,57.0,69.45
35.0,Male,8.2,10628.0,69.0,1809.0,8.0,2.84,68.0,74.87
70.0,Male,7.0,8016.0,89.0,3055.0,1.0,1.73,17.0,69.57
74.0,Male,8.6,8992.0,69.0,2202.0,8.0,2.29,45.0,64.81
51.0,Female,7.3,15458.0,62.0,1685.0,8.0,2.41,72.0,77.85
43.0,Female,5.4,3481.0,55.0,3532.0,4.0,2.43,54.0,66.84
37.0,Male,7.4,10380.0,76.0,3437.0,7.0,3.31,128.0,79.89
52.0,Female,7.7,7715.0,99.0,2321.0,5.0,2.39,36.0,58.77
51.0,Female,6.1,16253.0,97.0,2338.0,3.0,1.85,6.0,58.75
34.0,Female,4.9,4835.0,101.0,2325.0,2.0,2.4,112.0,67.36
19.0,Other,6.9,5106.0,87.0,1819.0,10.0,1.8,67.0,45.68
26.0,Female,5.5,2726.0,102.0,1632.0,9.0,1.35,9.0,27.29
72.0,Female,8.3,8590.0,97.0,2000.0,9.0,2.95,121.0,55.33
41.0,Female,6.3,1381.0,98.0,2251.0,2.0,2.47,26.0,56.34
45.0,Female,9.0,9606.0,81.0,1741.0,10.0,0.8,124.0,47.76
44.0,Female,4.0,4956.0,56.0,1478.0,7.0,1.62,44.0,41.21
62.0,Male,7.0,7929.0,74.0,3447.0,6.0,2.63,44.0,75.14
21.0,Female,8.7,11367.0,101.0,3330.0,4.0,1.01,27.0,72.49
22.0,Other,5.6,12699.0,95.0,2072.0,3.0,1.57,22.0,69.84
33.0,Male,6.6,2228.0,52.0,2751.0,4.0,3.96,104.0,75.88
45.0,Female,6.3,3698.0,57.0,1714.0,2.0,1.87,54.0,64.95
56.0,Female,5.9,6538.0,90.0,3438.0,8.0,2.86,72.0,66.41
45.0,Male,7.1,9925.0,108.0,3188.0,10.0,3.15,41.0,63.04
43.0,Female,5.1,16042.0,94.0,1787.0,10.0,1.46,55.0,49.35
71.0,Female,6.7,3531.0,107.0,1869.0,9.0,2.29,62.0,48.15
27.0,Other,7.5,2340.0,55.0,2132.0,2.0,3.54,40.0,70.37
50.0,Male,6.5,11770.0,103.0,1607.0,8.0,2.42,77.0,60.08
48.0,Male,5.5,17645.0,59.0,2163.0,9.0,3.76,60.0,70.82
44.0,Female,8.1,15148.0,103.0,2870.0,6.0,1.65,99.0,79.66
64.0,Male,7.7,10699.0,108.0,2997.0,6.0,3.36,101.0,76.97
33.0,Male,,1535.0,81.0,1416.0,4.0,2.11,82.0,49.84
72.0,Male,5.1,10880.0,82.0,2174.0,9.0,1.87,13.0,55.66
36.0,Male,5.6,8876.0,80.0,3231.0,8.0,2.55,115.0,75.69
49.0,Female,7.5,8708.0,84.0,3315.0,7.0,2.02,90.0,69.51
47.0,Female,7.2,9477.0,99.0,2637.0,1.0,2.04,95.0,76.47
66.0,Female,7.8,10633.0,68.0,3017.0,10.0,2.44,84.0,67.32
43.0,Female,6.4,13300.0,68.0,1943.0,6.0,0.83,67.0,68.93
34.0,Male,5.6,4427.0,108.0,3310.0,10.0,1.54,73.0,51.79
19.0,Male,8.0,2455.0,101.0,2441.0,7.0,2.61,15.0,44.7
38.0,Male,6.1,2064.0,83.0,2921.0,6.0,2.79,119.0,55.39
65.0,Male,7.0,8021.0,63.0,1977.0,8.0,2.35,104.0,61.98
18.0,Male,4.8,9733.0,107.0,1780.0,3.0,2.29,,66.53
69.0,Male,6.1,14396.0,102.0,2572.0,5.0,2.38,92.0,71.23
48.0,Male,8.1,8482.0,71.0,2549.0,1.0,2.77,34.0,74.37
25.0,Male,5.9,10140.0,83.0,2657.0,8.0,1.1,43.0,59.89
35.0,Female,7.9,17608.0,76.0,3177.0,4.0,1.74,112.0,84.18
49.0,Female,3.8,13797.0,100.0,3097.0,1.0,2.05,30.0,76.87
35.0,Female,6.1,12807.0,91.0,2063.0,8.0,2.24,79.0,62.74
24.0,Female,6.6,7315.0,80.0,2425.0,3.0,0.7,85.0,65.4
55.0,Female,9.1,3756.0,108.0,1587.0,3.0,1.22,23.0,48.62
56.0,Male,5.3,16657.0,87.0,3130.0,2.0,2.09,10.0,70.03
24.0,Female,7.7,10498.0,80.0,1697.0,7.0,2.81,4.0,61.01
34.0,Male,8.2,2499.0,105.0,1552.0,4.0,1.81,102.0,58.0
31.0,Male,5.9,9302.0,78.0,2544.0,6.0,1.63,37.0,59.77
55.0,Male,6.3,2731.0,76.0,3426.0,4.0,2.47,29.0,59.45
59.0,Male,7.0,17686.0,74.0,2227.0,8.0,1.87,118.0,68.61
59.0,Male,4.9,10078.0,64.0,1808.0,4.0,2.72,77.0,75.52
71.0,Female,6.2,14387.0,68.0,1805.0,8.0,1.95,3.0,53.34
61.0,Female,8.5,9109.0,57.0,3240.0,5.0,1.32,39.0,61.48
36.0,Female,7.5,1531.0,94.0,2853.0,1.0,3.09,61.0,77.55
24.0,Female,6.6,11926.0,86.0,2488.0,5.0,2.97,62.0,74.88
53.0,Female,6.9,12172.0,106.0,3440.0,3.0,1.43,101.0,77.59
70.0,Male,7.6,5048.0,87.0,1630.0,5.0,2.38,104.0,63.43
73.0,Female,7.8,13236.0,56.0,2756.0,2.0,1.87,4.0,71.53
31.0,Female,6.1,4997.0,88.0,2191.0,8.0,2.53,37.0,50.91
31.0,Male,8.8,12818.0,62.0,1913.0,7.0,1.49,78.0,71.39
20.0,Male,,,54.0,3420.0,2.0,2.71,4.0,80.97
26.0,Female,7.7,3509.0,90.0,3504.0,10.0,2.94,74.0,56.63
49.0,Female,5.7,6101.0,53.0,3236.0,4.0,1.44,10.0,58.93
49.0,Female,5.5,3943.0,75.0,1726.0,3.0,2.15,74.0,69.52
39.0,Female,6.4,13418.0,103.0,2989.0,1.0,2.95,9.0,78.45
35.0,Male,6.9,5157.0,66.0,2188.0,3.0,1.4,96.0,73.88
65.0,Female,4.5,11963.0,92.0,2235.0,1.0,1.63,59.0,69.62
,Male,7.4,8215.0,73.0,1826.0,5.0,2.56,123.0,67.52
64.0,Male,8.5,2599.0,58.0,2695.0,7.0,1.99,10.0,50.19
72.0,Female,7.5,16029.0,63.0,3285.0,4.0,1.0,113.0,72.0
36.0,Male,5.9,13146.0,56.0,1910.0,9.0,1.88,53.0,58.2
29.0,,5.8,5595.0,60.0,2582.0,10.0,3.32,63.0,64.71
72.0,Male,7.2,15975.0,61.0,2825.0,4.0,3.54,90.0,83.57
54.0,Female,6.6,13108.0,103.0,2787.0,7.0,1.65,80.0,69.4
